word,pinyin,english,level,language
采购,cǎi gòu,to procure (for an enterprise etc),HSK6,1
采集,cǎi jí,to gather,HSK6,1
采纳,cǎi nà,to accept,HSK6,1
彩票,cǎi piào,lottery ticket,HSK6,1
参谋,cān móu,staff officer,HSK6,1
参照,cān zhào,to consult a reference,HSK6,1
残酷,cán kù,cruel,HSK6,1
残留,cán liú,to remain,HSK6,1
残忍,cán rěn,cruel,HSK6,1
灿烂,càn làn,to glitter,HSK6,1
舱,cāng,cabin,HSK6,1
苍白,cāng bái,pale,HSK6,1
仓促,cāng cù,all of a sudden,HSK6,1
仓库,cāng kù,depot,HSK6,1
操劳,cāo láo,to work hard,HSK6,1
操练,cāo liàn,drill,HSK6,1
操纵,cāo zòng,to operate,HSK6,1
操作,cāo zuò,to work,HSK6,1
嘈杂,cáo zá,noisy,HSK6,1
草案,cǎo àn,draft (legislation,HSK6,1
草率,cǎo shuài,careless,HSK6,1
策划,cè huà,to plot,HSK6,1
策略,cè lvè,tactics,HSK6,1
测量,cè liáng,survey,HSK6,1
侧面,cè miàn,lateral side,HSK6,1
层出不穷,céng chū bù qióng,more and more emerge,HSK6,1
层次,céng cì,arrangement of ideas,HSK6,1
差距,chā jù,disparity,HSK6,1
查获,chá huò,to investigate and capture (a criminal),HSK6,1
岔,chà,fork in road,HSK6,1
刹那,chà nà,an instant (Sanskrit: ksana),HSK6,1
诧异,chà yì,flabbergasted,HSK6,1
柴油,chái yóu,diesel fuel,HSK6,1
搀,chān,to assist by the arm,HSK6,1
馋,chán,gluttonous,HSK6,1
缠绕,chán rào,twisting,HSK6,1
产业,chǎn yè,industry,HSK6,1
阐述,chǎn shù,to expound (a position),HSK6,1
颤抖,chàn dǒu,to shudder,HSK6,1
猖狂,chāng kuáng,savage,HSK6,1
昌盛,chāng shèng,prosperous,HSK6,1
尝试,cháng shì,to try,HSK6,1
偿还,cháng huán,to repay,HSK6,1
常年,cháng nián,all year round,HSK6,1
常务,cháng wù,routine,HSK6,1
场合,chǎng hé,situation,HSK6,1
场面,chǎng miàn,scene,HSK6,1
场所,chǎng suǒ,location,HSK6,1
敞开,chǎng kāi,to open wide,HSK6,1
倡导,chàng dǎo,to advocate,HSK6,1
倡议,chàng yì,to suggest,HSK6,1
畅通,chàng tōng,unimpeded,HSK6,1
畅销,chàng xiāo,to sell well,HSK6,1
超级,chāo jí,super-,HSK6,1
超越,chāo yuè,to surpass,HSK6,1
钞票,chāo piào,paper money,HSK6,1
潮流,cháo liú,tide,HSK6,1
潮湿,cháo shī,damp,HSK6,1
嘲笑,cháo xiào,to jeer at,HSK6,1
撤退,chè tuì,to retreat,HSK6,1
撤销,chè xiāo,to repeal,HSK6,1
沉淀,chén diàn,to settle,HSK6,1
沉闷,chén mèn,oppressive (of weather),HSK6,1
沉思,chén sī,to contemplate,HSK6,1
沉重,chén zhòng,heavy,HSK6,1
沉着,chén zhuó,steady,HSK6,1
陈旧,chén jiù,old-fashioned,HSK6,1
陈列,chén liè,to display,HSK6,1
陈述,chén shù,an assertion,HSK6,1
称心如意,chèn xīn rú yì,after one's heart (idiom); gratifying and satisfactory,HSK6,1
称号,chēng hào,name,HSK6,1
盛,chéng,to hold,HSK6,1
橙,chéng,orange tree,HSK6,1
乘务员,chéng wù yuán,attendant on an airplane,HSK6,1
承办,chéng bàn,to undertake,HSK6,1
承包,chéng bāo,to contract,HSK6,1
承诺,chéng nuò,to promise,HSK6,1
城堡,chéng bǎo,castle,HSK6,1
成本,chéng běn,(manufacturing,HSK6,1
成交,chéng jiāo,to complete a contract,HSK6,1
成天,chéng tiān,(coll.) all day long,HSK6,1
成效,chéng xiào,effect,HSK6,1
成心,chéng xīn,intentional,HSK6,1
成员,chéng yuán,member,HSK6,1
惩罚,chéng fá,penalty,HSK6,1
诚挚,chéng zhì,sincere,HSK6,1
澄清,chéng qīng,clear (of liquid),HSK6,1
呈现,chéng xiàn,to appear,HSK6,1
秤,chèng,steelyard,HSK6,1
吃苦,chī kǔ,to bear,HSK6,1
吃力,chī lì,to entail strenuous effort,HSK6,1
迟缓,chí huǎn,slow,HSK6,1
迟疑,chí yí,to hesitate,HSK6,1
持久,chí jiǔ,lasting,HSK6,1
池塘,chí táng,pool,HSK6,1
赤道,chì dào,equator (of the earth or astronomical body),HSK6,1
赤字,chì zì,(financial) deficit,HSK6,1
冲动,chōng dòng,to have an urge,HSK6,1
冲击,chōng jī,an attack,HSK6,1
冲突,chōng tū,conflict,HSK6,1
充当,chōng dāng,to serve as,HSK6,1
充沛,chōng pèi,abundant,HSK6,1
充实,chōng shí,rich,HSK6,1
充足,chōng zú,adequate,HSK6,1
崇拜,chóng bài,to worship,HSK6,1
崇高,chóng gāo,majestic,HSK6,1
崇敬,chóng jìng,to revere,HSK6,1
重叠,chóng dié,to overlap,HSK6,1
重阳节,Chóng yáng jié,Double Ninth or Yang Festival,HSK6,1
抽空,chōu kòng,to find the time to do sth,HSK6,1
筹备,chóu bèi,preparations,HSK6,1
踌躇,chóu chú,to hesitate,HSK6,1
稠密,chóu mì,dense,HSK6,1
丑恶,chǒu è,ugly,HSK6,1
出路,chū lù,a way out (of a difficulty etc),HSK6,1
出卖,chū mài,to offer for sale,HSK6,1
出身,chū shēn,to be born of,HSK6,1
出神,chū shén,entranced,HSK6,1
出息,chū xi,future prospects,HSK6,1
出洋相,chū yáng xiàng,to make a fool of oneself,HSK6,1
初步,chū bù,initial,HSK6,1
储备,chǔ bèi,reserves,HSK6,1
储存,chǔ cún,stockpile,HSK6,1
储蓄,chǔ xù,to deposit money,HSK6,1
处分,chǔ fèn,to discipline sb,HSK6,1
处境,chǔ jìng,plight,HSK6,1
处置,chǔ zhì,to handle,HSK6,1
触犯,chù fàn,to offend,HSK6,1
穿越,chuān yuè,to pass through,HSK6,1
川流不息,chuān liú bù xī,the stream flows without stopping (idiom); unending flow,HSK6,1
船舶,chuán bó,shipping,HSK6,1
传达,chuán dá,to pass on,HSK6,1
传单,chuán dān,leaflet,HSK6,1
传授,chuán shòu,to impart,HSK6,1
喘气,chuǎn qì,to breathe deeply,HSK6,1
串,chuàn,to string together,HSK6,1
床单,chuáng dān,bed sheet,HSK6,1
创立,chuàng lì,to establish,HSK6,1
创新,chuàng xīn,innovation,HSK6,1
创业,chuàng yè,to begin an undertaking,HSK6,1
创作,chuàng zuò,to create,HSK6,1
吹牛,chuī niú,to talk big,HSK6,1
吹捧,chuī pěng,to flatter,HSK6,1
锤,chuí,hammer,HSK6,1
垂直,chuí zhí,perpendicular,HSK6,1
纯粹,chún cuì,purely,HSK6,1
纯洁,chún jié,pure,HSK6,1
词汇,cí huì,vocabulary,HSK6,1
慈祥,cí xiáng,kindly,HSK6,1
雌雄,cí xióng,male and female,HSK6,1
刺,cì,thorn,HSK6,1
次品,cì pǐn,substandard products,HSK6,1
次序,cì xù,sequence,HSK6,1
伺候,cì hòu,to serve,HSK6,1
丛,cóng,cluster,HSK6,1
从容不迫,cóng róng bù pò,calm,HSK6,1
凑合,còu he,to bring together,HSK6,1
粗鲁,cū lǔ,crude,HSK6,1
窜,cuàn,to flee,HSK6,1
摧残,cuī cán,to ravage,HSK6,1
脆弱,cuì ruò,weak,HSK6,1
搓,cuō,to rub or roll between the hands or fingers,HSK6,1
磋商,cuō shāng,to consult,HSK6,1
挫折,cuò zhé,setback,HSK6,1
搭,dā,to put up,HSK6,1
搭档,dā dàng,to cooperate,HSK6,1
搭配,dā pèi,to pair up,HSK6,1
答辩,dá biàn,to reply (to an accusation),HSK6,1
答复,dá fù,to answer,HSK6,1
达成,dá chéng,to reach (an agreement),HSK6,1
打包,dǎ bāo,to wrap,HSK6,1
打官司,dǎ guān si,to file a lawsuit,HSK6,1
打击,dǎ jī,to hit,HSK6,1
打架,dǎ jià,to fight,HSK6,1
打量,dǎ liang,to size sb up,HSK6,1
打猎,dǎ liè,to go hunting,HSK6,1
打仗,dǎ zhàng,to fight a battle,HSK6,1
大不了,dà bù liǎo,at worst,HSK6,1
大臣,dà chén,chancellor (of a monarchy),HSK6,1
大伙儿,dà huǒ r,erhua variant of 大伙[dà huǒ],HSK6,1
大厦,dà shà,large building,HSK6,1
大肆,dà sì,wantonly,HSK6,1
大体,dà tǐ,in general,HSK6,1
大意,dà yi,careless,HSK6,1
大致,dà zhì,more or less,HSK6,1
歹徒,dǎi tú,evil-doer,HSK6,1
带领,dài lǐng,to guide,HSK6,1
代价,dài jià,price,HSK6,1
代理,dài lǐ,to act on behalf of sb in a responsible position,HSK6,1
逮捕,dài bǔ,to arrest,HSK6,1
怠慢,dài màn,to slight,HSK6,1
担保,dān bǎo,to guarantee,HSK6,1
胆怯,dǎn qiè,timid,HSK6,1
淡季,dàn jì,off season,HSK6,1
淡水,dàn shuǐ,potable water (water with low salt content),HSK6,1
蛋白质,dàn bái zhì,protein,HSK6,1
诞辰,dàn chén,birthday,HSK6,1
诞生,dàn shēng,to be born,HSK6,1
当场,dāng chǎng,at the scene,HSK6,1
当初,dāng chū,at that time,HSK6,1
当面,dāng miàn,to sb's face,HSK6,1
当前,dāng qián,current,HSK6,1
当事人,dāng shì rén,persons involved or implicated,HSK6,1
当务之急,dāng wù zhī jí,top priority job,HSK6,1
当心,dāng xīn,to take care,HSK6,1
当选,dāng xuǎn,to be elected,HSK6,1
党,dǎng,party,HSK6,1
档案,dàng àn,file,HSK6,1
档次,dàng cì,grade,HSK6,1
岛屿,dǎo yǔ,island,HSK6,1
倒闭,dǎo bì,to go bankrupt,HSK6,1
导弹,dǎo dàn,guided missile,HSK6,1
导航,dǎo háng,navigation,HSK6,1
导向,dǎo xiàng,to be oriented towards,HSK6,1
捣乱,dǎo luàn,to disturb,HSK6,1
稻谷,dào gǔ,rice crops,HSK6,1
盗窃,dào qiè,to steal,HSK6,1
得不偿失,dé bù cháng shī,(saying) the gains do not make up for the losses,HSK6,1
得力,dé lì,able,HSK6,1
得天独厚,dé tiān dú hòu,(of an area) rich in resources,HSK6,1
得罪,dé zuì,to commit an offense,HSK6,1
蹬,dēng,to step on,HSK6,1
灯笼,dēng lóng,lantern,HSK6,1
登陆,dēng lù,to land,HSK6,1
登录,dēng lù,to register,HSK6,1
等级,děng jí,grade,HSK6,1
瞪,dèng,to open (one's eyes) wide,HSK6,1
堤坝,dī bà,dam,HSK6,1
敌视,dí shì,hostile,HSK6,1
抵达,dǐ dá,to arrive,HSK6,1
抵抗,dǐ kàng,to resist,HSK6,1
抵制,dǐ zhì,to resist,HSK6,1
递增,dì zēng,to increase by degrees,HSK6,1
地步,dì bù,condition,HSK6,1
地势,dì shì,terrain,HSK6,1
地质,dì zhì,geology,HSK6,1
颠簸,diān bǒ,to shake,HSK6,1
颠倒,diān dǎo,to turn upside-down,HSK6,1
点缀,diǎn zhuì,to decorate,HSK6,1
典礼,diǎn lǐ,celebration,HSK6,1
典型,diǎn xíng,model,HSK6,1
垫,diàn,pad,HSK6,1
电源,diàn yuán,electric power source,HSK6,1
奠定,diàn dìng,to establish,HSK6,1
惦记,diàn jì,to think of,HSK6,1
叼,diāo,to hold in the mouth,HSK6,1
雕刻,diāo kè,to carve,HSK6,1
雕塑,diāo sù,a statue,HSK6,1
吊,diào,a string of 100 cash (arch.),HSK6,1
调动,diào dòng,to transfer,HSK6,1
跌,diē,to drop,HSK6,1
盯,dīng,to watch attentively,HSK6,1
叮嘱,dīng zhǔ,to warn repeatedly,HSK6,1
定期,dìng qī,regularly,HSK6,1
定义,dìng yì,definition,HSK6,1
丢人,diū rén,to lose face,HSK6,1
丢三落四,diū sān là sì,forgetful,HSK6,1
东道主,dōng dào zhǔ,host,HSK6,1
东张西望,dōng zhāng xī wàng,to look in all directions (idiom),HSK6,1
董事长,dǒng shì zhǎng,chairman of the board,HSK6,1
栋,dòng,classifier for houses or buildings,HSK6,1
冻结,dòng jié,to freeze (loan,HSK6,1
洞穴,dòng xué,cave,HSK6,1
动荡,dòng dàng,unrest (social or political),HSK6,1
动机,dòng jī,motor,HSK6,1
动静,dòng jìng,sound of activity or people talking,HSK6,1
动力,dòng lì,power,HSK6,1
动脉,dòng mài,artery,HSK6,1
动身,dòng shēn,to go on a journey,HSK6,1
动手,dòng shǒu,to set about (a task),HSK6,1
动态,dòng tài,development,HSK6,1
动员,dòng yuán,to mobilize,HSK6,1
兜,dōu,pocket,HSK6,1
陡峭,dǒu qiào,precipitous,HSK6,1
斗争,dòu zhēng,a struggle,HSK6,1
督促,dū cù,to supervise and urge completion of a task,HSK6,1
都市,dū shì,city,HSK6,1
独裁,dú cái,dictatorship,HSK6,1
毒品,dú pǐn,drugs,HSK6,1
赌博,dǔ bó,to gamble,HSK6,1
堵塞,dǔ sè,to block,HSK6,1
杜绝,dù jué,to put an end to,HSK6,1
端,duān,end,HSK6,1
端午节,Duān wǔ jié,the Dragon Boat Festival (5th day of the 5th lunar month),HSK6,1
端正,duān zhèng,upright,HSK6,1
短促,duǎn cù,short in time,HSK6,1
断定,duàn dìng,to conclude,HSK6,1
断断续续,duàn duàn xù xù,intermittent,HSK6,1
断绝,duàn jué,to sever,HSK6,1
堆积,duī jī,to pile up,HSK6,1
对策,duì cè,countermeasure for dealing with a situation,HSK6,1
对称,duì chèn,symmetry,HSK6,1
对付,duì fu,to handle,HSK6,1
对抗,duì kàng,to withstand,HSK6,1
对立,duì lì,to oppose,HSK6,1
对联,duì lián,rhyming couplet,HSK6,1
对应,duì yìng,to correspond,HSK6,1
对照,duì zhào,to contrast,HSK6,1
兑换,duì huàn,to convert,HSK6,1
兑现,duì xiàn,(of a cheque etc) to cash,HSK6,1
队伍,duì wǔ,ranks,HSK6,1
顿时,dùn shí,immediately,HSK6,1
多元化,duō yuán huà,diversification,HSK6,1
哆嗦,duō suo,to tremble,HSK6,1
堕落,duò luò,to morally degenerate,HSK6,1
额外,é wài,extra,HSK6,1
恶心,è xīn,bad habit,HSK6,1
恶化,è huà,to worsen,HSK6,1
遏制,è zhì,to check,HSK6,1
恩怨,ēn yuàn,(feeling of) resentment,HSK6,1
而已,ér yǐ,that's all,HSK6,1
耳环,ěr huán,earring,HSK6,1
二氧化碳,èr yǎng huà tàn,carbon dioxide CO2,HSK6,1
发布,fā bù,to release,HSK6,1
发财,fā cái,to get rich,HSK6,1
发呆,fā dāi,to stare blankly,HSK6,1
发动,fā dòng,to start,HSK6,1
发火,fā huǒ,to catch fire,HSK6,1
发觉,fā jué,to find,HSK6,1
发射,fā shè,to shoot (a projectile),HSK6,1
发誓,fā shì,to vow,HSK6,1
发行,fā xíng,to publish,HSK6,1
发炎,fā yán,to become inflamed,HSK6,1
发扬,fā yáng,to develop,HSK6,1
发育,fā yù,to develop,HSK6,1
法人,fǎ rén,legal person,HSK6,1
番,fān,foreign,HSK6,1
繁华,fán huá,flourishing,HSK6,1
繁忙,fán máng,busy,HSK6,1
繁体字,fán tǐ zì,traditional Chinese character,HSK6,1
繁殖,fán zhí,to breed,HSK6,1
反驳,fǎn bó,to retort,HSK6,1
反常,fǎn cháng,unusual,HSK6,1
反倒,fǎn dào,but on the contrary,HSK6,1
反动,fǎn dòng,reaction,HSK6,1
反感,fǎn gǎn,to be disgusted with,HSK6,1
反抗,fǎn kàng,to resist,HSK6,1
反馈,fǎn kuì,to send back information,HSK6,1
反面,fǎn miàn,reverse side,HSK6,1
反射,fǎn shè,to reflect,HSK6,1
反思,fǎn sī,to think back over sth,HSK6,1
反问,fǎn wèn,to ask (a question) in reply,HSK6,1
反之,fǎn zhī,on the other hand...,HSK6,1
范畴,fàn chóu,category,HSK6,1
泛滥,fàn làn,to be in flood,HSK6,1
贩卖,fàn mài,to sell,HSK6,1
方位,fāng wèi,direction,HSK6,1
方言,fāng yán,dialect,HSK6,1
方针,fāng zhēn,policy,HSK6,1
防守,fáng shǒu,to defend,HSK6,1
防疫,fáng yì,disease prevention,HSK6,1
防御,fáng yù,defense,HSK6,1
防止,fáng zhǐ,to prevent,HSK6,1
防治,fáng zhì,prevention and cure,HSK6,1
纺织,fǎng zhī,spinning and weaving,HSK6,1
放大,fàng dà,to enlarge,HSK6,1
放射,fàng shè,to radiate,HSK6,1
放手,fàng shǒu,to let go one's hold,HSK6,1
非法,fēi fǎ,illegal,HSK6,1
飞禽走兽,fēi qín zǒu shòu,birds and animals,HSK6,1
飞翔,fēi xiáng,to fly,HSK6,1
飞跃,fēi yuè,to leap,HSK6,1
肥沃,féi wò,fertile,HSK6,1
诽谤,fěi bàng,to slander,HSK6,1
匪徒,fěi tú,gangster,HSK6,1
废除,fèi chú,to abolish,HSK6,1
废墟,fèi xū,ruins,HSK6,1
沸腾,fèi téng,boiling,HSK6,1
分辨,fēn biàn,to distinguish,HSK6,1
分寸,fēn cùn,propriety,HSK6,1
分红,fēn hóng,a bonus,HSK6,1
分解,fēn jiě,to resolve,HSK6,1
分裂,fēn liè,to split up,HSK6,1
分泌,fēn mì,to secrete,HSK6,1
分明,fēn míng,clearly demarcated,HSK6,1
分歧,fēn qí,difference (of opinion,HSK6,1
分散,fēn sàn,to scatter,HSK6,1
分手,fēn shǒu,to split up,HSK6,1
吩咐,fēn fù,to tell,HSK6,1
坟墓,fén mù,sepulcher,HSK6,1
粉末,fěn mò,fine powder,HSK6,1
粉色,fěn sè,white,HSK6,1
粉碎,fěn suì,to crush,HSK6,1
分量,fèn liang,quantity,HSK6,1
风暴,fēng bào,storm,HSK6,1
风度,fēng dù,elegance (for men),HSK6,1
风光,fēng guāng,scene,HSK6,1
风气,fēng qì,general mood,HSK6,1
风趣,fēng qù,humor,HSK6,1
风土人情,fēng tǔ rén qíng,local conditions and customs (idiom),HSK6,1
风味,fēng wèi,local flavor,HSK6,1
封闭,fēng bì,to seal,HSK6,1
封建,fēng jiàn,system of enfeoffment,HSK6,1
封锁,fēng suǒ,to blockade,HSK6,1
丰满,fēng mǎn,ample,HSK6,1
丰盛,fēng shèng,rich,HSK6,1
丰收,fēng shōu,bumper harvest,HSK6,1
锋利,fēng lì,sharp (e.g. knife blade),HSK6,1
逢,féng,to meet by chance,HSK6,1
奉献,fèng xiàn,to consecrate,HSK6,1
否决,fǒu jué,veto,HSK6,1
夫妇,fū fù,a (married) couple,HSK6,1
夫人,fū ren,lady,HSK6,1
敷衍,fū yǎn,to elaborate (on a theme),HSK6,1
幅度,fú dù,width,HSK6,1
服气,fú qì,to be convinced,HSK6,1
符号,fú hào,symbol,HSK6,1
福利,fú lì,(material) welfare,HSK6,1
福气,fú qi,good fortune,HSK6,1
俘虏,fú lǔ,captive,HSK6,1
辐射,fú shè,radiation,HSK6,1
腐败,fǔ bài,corruption,HSK6,1
腐烂,fǔ làn,to rot,HSK6,1
腐蚀,fǔ shí,corrosion,HSK6,1
腐朽,fǔ xiǔ,rotten,HSK6,1
辅助,fǔ zhù,to assist,HSK6,1
抚养,fǔ yǎng,to foster,HSK6,1
俯仰,fǔ yǎng,lowering and raising of the head,HSK6,1
