word,english,pinyin,level,language
累,tired,lèi,HSK2,1
离,to leave,lí,HSK2,1
两,both,liǎng,HSK2,1
路,road,lù,HSK2,1
旅游,trip,lǚ yóu,HSK2,1
卖,to sell,mài,HSK2,1
慢,slow,màn,HSK2,1
忙,busy,máng,HSK2,1
每,each,měi,HSK2,1
妹妹,younger sister,mèi mei,HSK2,1
门,gate,mén,HSK2,1
男人,a man,nán rén,HSK2,1
您,you (courteous,nín,HSK2,1
牛奶,cow's milk,niú nǎi,HSK2,1
女人,woman,nǚ rén,HSK2,1
旁边,lateral,páng biān,HSK2,1
跑步,to walk quickly,pǎo bù,HSK2,1
便宜,small advantages,pián yi,HSK2,1
票,ticket,piào,HSK2,1
妻子,wife,qī zi,HSK2,1
起床,to get out of bed,qǐ chuáng,HSK2,1
千,a swing,qiān,HSK2,1
晴,clear,qíng,HSK2,1
去年,last year,qù nián,HSK2,1
让,to yield,ràng,HSK2,1
上班,to go to work,shàng bān,HSK2,1
身体,(human) body,shēn tǐ,HSK2,1
生病,to fall ill,shēng bìng,HSK2,1
生日,birthday,shēng rì,HSK2,1
时间,time,shí jiān,HSK2,1
事情,affair,shì qing,HSK2,1
手表,wrist watch,shǒu biǎo,HSK2,1
手机,cell phone,shǒu jī,HSK2,1
送,to deliver,sòng,HSK2,1
所以,therefore,suǒ yǐ,HSK2,1
它,it,tā,HSK2,1
踢,to kick,tī,HSK2,1
题,topic,tí,HSK2,1
跳舞,to dance,tiào wǔ,HSK2,1
外,outside,wài,HSK2,1
完,to finish,wán,HSK2,1
玩,toy,wán,HSK2,1
晚上,evening,wǎn shang,HSK2,1
为,variant of 為|为,wèi,HSK2,1
问,to ask,wèn,HSK2,1
问题,question,wèn tí,HSK2,1
西瓜,watermelon,xī guā,HSK2,1
希望,to wish for,xī wàng,HSK2,1
洗,to wash,xǐ,HSK2,1
向,towards,xiàng,HSK2,1
小时,hour,xiǎo shí,HSK2,1
笑,laugh,xiào,HSK2,1
新,new,xīn,HSK2,1
姓,family name,xìng,HSK2,1
休息,rest,xiū xi,HSK2,1
雪,snow,xuě,HSK2,1
颜色,color,yán sè,HSK2,1
眼睛,eye,yǎn jing,HSK2,1
羊肉,mutton,yáng ròu,HSK2,1
药,medicine,yào,HSK2,1
要,important,yào,HSK2,1
也,also,yě,HSK2,1
已经,already,yǐ jīng,HSK2,1
一起,in the same place,yī qǐ,HSK2,1
意思,idea,yì si,HSK2,1
阴,overcast (weather),yīn,HSK2,1
因为,because,yīn wèi,HSK2,1
游泳,swimming,yóu yǒng,HSK2,1
右边,right side,yòu bian,HSK2,1
鱼,fish,yú,HSK2,1
元,Chinese monetary unit,yuán,HSK2,1
远,far,yuǎn,HSK2,1
运动,to move,yùn dòng,HSK2,1
再,again,zài,HSK2,1
早上,early morning,zǎo shang,HSK2,1
张,to open up,zhāng,HSK2,1
长,chief,zhǎng,HSK2,1
丈夫,husband,zhàng fu,HSK2,1
找,to try to find,zhǎo,HSK2,1
着,aspect particle indicating action in progress,zhe,HSK2,1
真,really,zhēn,HSK2,1
正在,in the process of (doing something or happening),zhèng zài,HSK2,1
知道,to know,zhī dào,HSK2,1
准备,preparation,zhǔn bèi,HSK2,1
自行车,bicycle,zì xíng chē,HSK2,1
走,to walk,zǒu,HSK2,1
最,most,zuì,HSK2,1
左边,left,zuǒ bian,HSK2,1
